segmentId,time,dimensionlessDischarge,overThreshold,threshold
83,360.000000,0.000000,0,31.047587
84,360.000000,393.244086,1,66.101004
85,360.000000,248.065401,1,93.958648
86,360.000000,986.505004,1,84.865091
87,360.000000,1093.954881,1,59.049141
88,360.000000,146.181576,1,63.199054
89,360.000000,284.570680,1,46.000685
90,360.000000,1592.292047,1,47.752969
91,360.000000,160.883977,1,54.590463
92,360.000000,542.073298,1,62.677477
93,360.000000,974.209545,1,79.254143
94,360.000000,1843.616849,1,94.809695
95,360.000000,223.354136,1,112.875211
96,360.000000,314.617332,1,43.945868
97,360.000000,3049.293928,1,49.288793
98,360.000000,369.244874,1,52.868705
99,360.000000,2037.776791,1,50.557409
100,360.000000,794.250557,1,41.343211
101,360.000000,225.871396,1,102.378880
102,360.000000,2841.193784,1,67.047738
103,360.000000,3002.057703,1,162.623289
104,360.000000,1738.814607,1,55.702925
105,360.000000,658.087875,1,42.044462
106,360.000000,4288.668188,1,69.591700
107,360.000000,673.522387,1,96.813401
108,360.000000,3644.911644,1,98.728949
109,360.000000,1133.932674,1,136.945331
110,360.000000,977.569234,1,52.062812
111,360.000000,345.542769,1,57.718733
112,360.000000,1301.779231,1,105.395421
113,360.000000,2144.998510,1,52.253446
114,360.000000,372.771294,1,58.130243
115,360.000000,446.261985,1,76.508499
116,360.000000,529.790375,1,65.373050
117,360.000000,2649.365566,1,214.557635
118,360.000000,521.102820,1,45.287520
119,360.000000,311.097180,1,57.084843
120,360.000000,577.477902,1,62.019657
121,360.000000,670.709274,1,130.125002
122,360.000000,353.038135,1,41.332097
123,360.000000,761.044794,1,51.467003
124,360.000000,809.935792,1,315.223399
125,360.000000,458.462170,1,146.484550
126,360.000000,510.532336,1,52.248274
127,360.000000,1186.561953,1,65.364735
128,360.000000,620.549617,1,97.790672
129,360.000000,886.243357,1,150.261160
130,360.000000,651.364198,1,51.170728
131,360.000000,700.391303,1,54.471626
132,360.000000,783.172896,1,101.300485
133,360.000000,785.732659,1,137.645522
134,360.000000,946.099908,1,59.260919
135,360.000000,1439.484696,1,71.966300
136,360.000000,2118.012948,1,78.960103
137,360.000000,2996.642084,1,147.175418
138,360.000000,3169.999176,1,101.998630
1,384.000000,0.000000,0,450.162586
2,384.000000,87.967692,1,51.160831
3,384.000000,0.000000,0,381.152321
4,384.000000,130.943631,1,52.225016
5,384.000000,97.204330,1,52.258619
6,384.000000,383.877072,1,56.492945
7,384.000000,22.119190,0,288.785928
8,384.000000,0.000000,0,42.607805
9,384.000000,241.717093,1,43.789737
10,384.000000,0.060875,0,154.335258
11,384.000000,0.000000,0,292.037236
12,384.000000,18.642363,0,57.031906
13,384.000000,139.737994,1,107.326159
14,384.000000,0.000000,0,178.260347
15,384.000000,391.067809,1,191.906118
16,384.000000,140.102043,1,60.697337
17,384.000000,190.283764,1,49.104228
18,384.000000,394.427498,1,108.573805
19,384.000000,2055.467810,1,79.254143
20,384.000000,0.000000,0,248.648946
21,384.000000,258.585741,1,123.753423
22,384.000000,4.883985,0,53.891057
23,384.000000,0.000000,0,39.344742
24,384.000000,177.602191,1,40.813500
25,384.000000,935.217094,1,23.495425
26,384.000000,483.855402,1,47.531385
27,384.000000,744.828027,1,56.790344
28,384.000000,713.417441,1,46.396326
29,384.000000,0.000000,0,52.101336
30,384.000000,290.648207,1,77.602311
31,384.000000,29.880072,0,75.862225
32,384.000000,99.544077,0,136.050582
33,384.000000,66.049482,0,190.218019
34,384.000000,278.275525,1,78.372864
35,384.000000,135.261083,1,28.582419
36,384.000000,778.224339,1,47.343457
37,384.000000,70.511349,1,47.305638
38,384.000000,171.909775,1,31.052056
39,384.000000,61.220555,0,75.289383
40,384.000000,178.285161,1,66.439213
41,384.000000,171.695156,1,100.633601
42,384.000000,442.405864,1,118.393540
43,384.000000,200.242484,1,173.776110
44,384.000000,114.702794,1,50.892688
45,384.000000,340.552126,1,47.607844
46,384.000000,21.751831,0,38.919038
47,384.000000,821.128070,1,130.419045
48,384.000000,2470.605034,1,42.044462
49,384.000000,3676.603039,1,46.893745
50,384.000000,459.906334,1,66.011718
51,384.000000,2120.244622,1,1181.166341
52,384.000000,2.518262,0,78.372864
53,384.000000,0.020511,0,104.293003
54,384.000000,0.036622,0,47.169590
55,384.000000,748.127542,1,57.875533
56,384.000000,203.193996,1,39.422379
57,384.000000,3098.335360,1,66.041452
58,384.000000,1986.930153,1,106.392786
59,384.000000,2270.528028,1,126.308648
60,384.000000,0.000000,0,81.983475
61,384.000000,0.000000,0,97.968849
62,384.000000,12.342495,0,34.718733
63,384.000000,0.000000,0,64.572746
64,384.000000,345.696963,1,51.180628
65,384.000000,513.490868,1,63.765433
66,384.000000,0.000000,0,113.689850
67,384.000000,944.664339,1,79.361079
68,384.000000,0.000000,0,89.757826
69,384.000000,1877.083364,1,68.091890
70,384.000000,0.000000,0,40.724000
71,384.000000,76.785443,1,42.006685
72,384.000000,0.000000,0,38.777822
73,384.000000,56.193056,1,48.185216
74,384.000000,81.232268,1,70.453741
75,384.000000,119.986030,1,61.819628
76,384.000000,150.082827,1,105.244662
77,384.000000,97.239431,0,111.440239
78,384.000000,238.678330,1,54.729799
79,384.000000,207.548554,1,34.395239
